id,name,signup_date,amount,active,user_uuid,score
0,user_0,2020-01-01,3745.4,True,00000000-0000-0000-0000-000000000000,27
1,user_1,2020-01-01,9507.14,False,00000000-0000-0000-0000-000000000001,21
2,user_2,2020-01-01,7319.94,False,00000000-0000-0000-0000-000000000002,15
3,user_3,2020-01-01,5986.58,False,00000000-0000-0000-0000-000000000003,12
4,user_4,2020-01-01,1560.19,True,00000000-0000-0000-0000-000000000004,99
5,user_5,2020-01-01,1559.95,False,00000000-0000-0000-0000-000000000005,99
6,user_6,2020-01-01,580.84,False,00000000-0000-0000-0000-000000000006,61
7,user_7,2020-01-01,8661.76,True,00000000-0000-0000-0000-000000000007,42
8,user_8,2020-01-01,6011.15,True,00000000-0000-0000-0000-000000000008,86
9,user_9,2020-01-01,7080.73,True,00000000-0000-0000-0000-000000000009,77
10,user_10,2020-01-01,205.84,True,00000000-0000-0000-0000-00000000000a,31
11,user_11,2020-01-01,9699.1,False,00000000-0000-0000-0000-00000000000b,66
12,user_12,2020-01-01,8324.43,True,00000000-0000-0000-0000-00000000000c,90
13,user_13,2020-01-01,2123.39,False,00000000-0000-0000-0000-00000000000d,82
14,user_14,2020-01-01,1818.25,True,00000000-0000-0000-0000-00000000000e,85
15,user_15,2020-01-01,1834.05,True,00000000-0000-0000-0000-00000000000f,56
16,user_16,2020-01-01,3042.42,False,00000000-0000-0000-0000-000000000010,64
17,user_17,2020-01-01,5247.56,False,00000000-0000-0000-0000-000000000011,68
18,user_18,2020-01-01,4319.45,False,00000000-0000-0000-0000-000000000012,48
19,user_19,2020-01-01,2912.29,True,00000000-0000-0000-0000-000000000013,32
20,user_20,2020-01-01,6118.53,True,00000000-0000-0000-0000-000000000014,18
21,user_21,2020-01-01,1394.94,False,00000000-0000-0000-0000-000000000015,35
22,user_22,2020-01-01,2921.45,False,00000000-0000-0000-0000-000000000016,69
23,user_23,2020-01-01,3663.62,True,00000000-0000-0000-0000-000000000017,14
24,user_24,2020-01-02,4560.7,False,00000000-0000-0000-0000-000000000018,99
25,user_25,2020-01-02,7851.76,False,00000000-0000-0000-0000-000000000019,96
26,user_26,2020-01-02,1996.74,True,00000000-0000-0000-0000-00000000001a,23
27,user_27,2020-01-02,5142.34,False,00000000-0000-0000-0000-00000000001b,26
28,user_28,2020-01-02,5924.15,True,00000000-0000-0000-0000-00000000001c,48
29,user_29,2020-01-02,464.5,True,00000000-0000-0000-0000-00000000001d,74
30,user_30,2020-01-02,6075.45,True,00000000-0000-0000-0000-00000000001e,22
31,user_31,2020-01-02,1705.24,False,00000000-0000-0000-0000-00000000001f,32
32,user_32,2020-01-02,650.52,False,00000000-0000-0000-0000-000000000020,40
33,user_33,2020-01-02,9488.86,False,00000000-0000-0000-0000-000000000021,55
34,user_34,2020-01-02,9656.32,False,00000000-0000-0000-0000-000000000022,28
35,user_35,2020-01-02,8083.97,True,00000000-0000-0000-0000-000000000023,30
36,user_36,2020-01-02,3046.14,True,00000000-0000-0000-0000-000000000024,64
37,user_37,2020-01-02,976.72,False,00000000-0000-0000-0000-000000000025,97
38,user_38,2020-01-02,6842.33,False,00000000-0000-0000-0000-000000000026,17
39,user_39,2020-01-02,4401.52,False,00000000-0000-0000-0000-000000000027,81
40,user_40,2020-01-02,1220.38,False,00000000-0000-0000-0000-000000000028,5
